Timestamp,Host,Error_Type,Severity,Message
Sep 15 07:58:27,rpki-repo.canops.org,tls_handshake_failed,LOW,Sep 15 07:58:27 rpki-client: https://rpki-repo.canops.org/rrdp/notification.xml (23.140.52.8): TLS handshake: certificate verification failed: unable to get local issuer certificate
Sep 15 07:58:48,repo.kagl.me,tls_handshake_failed,HIGH,Sep 15 07:58:48 rpki-client: https://repo.kagl.me/rpki/notification.xml (104.37.40.237): TLS handshake: certificate verification failed: certificate has expired
Sep 15 07:58:27,rpki-repo.canops.org,fallback_to_rsync,LOW,"Sep 15 07:58:27 rpki-client: https://rpki-repo.canops.org/rrdp/notification.xml: load from network failed, fallback to rsync"
Sep 15 07:58:35,oto.wakuwaku.ne.jp,fallback_to_rsync,LOW,"Sep 15 07:58:35 rpki-client: https://oto.wakuwaku.ne.jp/pki/oshirase.xml: load from network failed, fallback to rsync"
Sep 15 07:58:45,rpki.netiface.net,fallback_to_rsync,LOW,"Sep 15 07:58:45 rpki-client: https://rpki.netiface.net/rrdp/notification.xml: load from network failed, fallback to rsync"
Sep 15 07:58:47,rpki.leitecastro.com,fallback_to_rsync,LOW,"Sep 15 07:58:47 rpki-client: https://rpki.leitecastro.com/notification.xml: load from network failed, fallback to rsync"
Sep 15 07:58:48,repo.kagl.me,fallback_to_rsync,LOW,"Sep 15 07:58:48 rpki-client: https://repo.kagl.me/rpki/notification.xml: load from network failed, fallback to rsync"
Sep 15 07:58:54,rpki.0i1.eu,fallback_to_rsync,LOW,"Sep 15 07:58:54 rpki-client: https://rpki.0i1.eu/rrdp/notification.xml: load from network failed, fallback to rsync"
Sep 15 08:05:39,sakuya.nat.moe,fallback_to_rsync,LOW,"Sep 15 08:05:39 rpki-client: https://sakuya.nat.moe/rrdp/notification.xml: load from network failed, fallback to rsync"
Sep 15 08:06:05,krill.rpki-measurement.site,fallback_to_rsync,LOW,"Sep 15 08:06:05 rpki-client: https://krill.rpki-measurement.site/rrdp/notification.xml: load from network failed, fallback to rsync"
Sep 15 07:58:35,oto.wakuwaku.ne.jp,dns_resolution_failed,LOW,Sep 15 07:58:35 rpki-client: oto.wakuwaku.ne.jp: no address associated with name
Sep 15 07:58:35,oto.wakuwaku.ne.jp,dns_resolution_failed,LOW,Sep 15 07:58:35 openrsync: error: getaddrinfo: oto.wakuwaku.ne.jp: no address associated with name
Sep 15 07:58:45,rpki.netiface.net,dns_resolution_failed,LOW,Sep 15 07:58:45 rpki-client: rpki.netiface.net: no address associated with name
Sep 15 07:58:45,rpki.netiface.net,dns_resolution_failed,LOW,Sep 15 07:58:45 openrsync: error: getaddrinfo: rpki.netiface.net: no address associated with name
