Timestamp,Host,Error_Type,Severity,Message
Sep 27 23:39:26,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:26 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/593FBF387AC111F0921B9DF0DAE4EC9C.roa: certificate has expired
Sep 27 23:39:28,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:28 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/0F2A01BA801B11F0A3432C84DAE4EC9C.roa: certificate has expired
Sep 27 23:39:28,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:28 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/EFCAD596801B11F092C1DF88DAE4EC9C.roa: certificate has expired
Sep 27 23:39:30,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:30 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/FFAB69707E8C11F099D683CADAE4EC9C.roa: certificate has expired
Sep 27 23:39:31,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:31 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/4D536B74818011EF91AED3B6762E951A.roa: certificate has expired
Sep 27 23:39:33,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:33 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/29F13EEC7AC511F0BB204B8CDAE4EC9C.roa: certificate has expired
Sep 27 23:39:33,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:33 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/0A61E0E87E8C11F0A383C9C5DAE4EC9C.roa: certificate has expired
Sep 27 23:39:34,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:34 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/33AD9D7A7AC211F0B2733FF5DAE4EC9C.roa: certificate has expired
Sep 27 23:39:34,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:34 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/B7F13C207E8E11F0A1BD8BD8DAE4EC9C.roa: certificate has expired
Sep 27 23:39:34,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:34 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/259BD33679D311F09D9AB1E5DAE4EC9C.roa: certificate has expired
Sep 27 23:39:35,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:35 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/6943003C90D511F0BD0257F0DAE4EC9C.roa: certificate has expired
Sep 27 23:39:37,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:37 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/F3C0035A7AB811F0A7E11BBBDAE4EC9C.roa: certificate has expired
Sep 27 23:39:39,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:39 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/8A9D8D1883EE11F0A0529EEFDAE4EC9C.roa: certificate has expired
Sep 27 23:39:39,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:39 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/8DDF0DEC801C11F090CB008DDAE4EC9C.roa: certificate has expired
Sep 27 23:39:40,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:40 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/0571D0BC76DE11F0AC8C8F95DAE4EC9C.roa: certificate has expired
Sep 27 23:39:40,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:40 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/5DE009D8801D11F0BC0B5E93DAE4EC9C.roa: certificate has expired
Sep 27 23:39:42,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:42 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/E26DFF027AC311F0A0D9E083DAE4EC9C.roa: certificate has expired
Sep 27 23:39:42,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:42 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/1F6DBE1690D511F0B0045FECDAE4EC9C.roa: certificate has expired
Sep 27 23:39:43,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:43 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/DC0839307AC211F0BB5E487BDAE4EC9C.roa: certificate has expired
Sep 27 23:39:44,rpki.afrinic.net,cert_expired,HIGH,Sep 27 23:39:44 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/F471AE9C7E8D11F0A39905D4DAE4EC9C.roa: certificate has expired
